date,nav,SPY,QQQ,SPUS,HLAL,f_applied,w_eq,w_gld,w_cash
2026-08-12,250000.0,250000.0,250000.0,250000.0,250000.0,0.5315,0.5315,0.2343,0.2342
2026-08-13,250683.7940737797,251744.3639129881,252891.3897250264,251395.69452271177,252114.0976669601,0.5315,0.5315,0.2343,0.2343
2026-08-14,250841.10155686524,251245.98268902025,252545.9427224243,250845.88377970865,251573.83219262605,0.5315,0.5315,0.2343,0.2343
2026-08-17,251052.88785178133,250058.2508116793,252131.40210241947,250380.6468941744,251070.93822449056,0.5315,0.5315,0.2343,0.2343
2026-08-18,248010.2618151735,248368.9180147776,247861.6822105168,247885.29861767404,248120.3862365061,0.5315,0.5315,0.2343,0.2343
2026-08-19,249990.04613592435,248889.95562429857,247367.6955269252,248519.6993520372,248491.64896390427,0.5315,0.5315,0.2343,0.2343
2026-08-20,249165.4682540624,246799.30653682747,245588.6350297598,247039.4148379654,247059.0318896004,0.5315,0.5315,0.2343,0.2343
2026-08-21,250795.13250732803,247809.02677807,246455.7103797969,247927.58554640843,247991.47007501137,0.5315,0.5315,0.2343,0.2343
2026-08-24,249909.867215583,247080.8620029777,243996.1294080231,245643.72031525365,245831.75272738264,0.5315,0.5315,0.2343,0.2343
2026-08-25,251013.9942364468,247870.517038076,245516.08356882512,246785.64486388545,246963.044451928,0.5315,0.5315,0.2343,0.2343
2026-08-26,250027.46874266845,247925.54815416233,245740.63255428118,246557.16782427428,246723.07585774703,0.5315,0.5315,0.2343,0.2343
